age_group,statefip,poverty_rate,ubi
adult,1,0.051055936998960584,7000
adult,2,0.06915408158133048,7000
adult,4,0.048243848540669106,7000
adult,5,0.04648304985707649,7000
adult,6,0.09233196440214582,7000
adult,8,0.06077405861850663,7000
adult,9,0.05515277675179751,7000
adult,10,0.0461254977870747,7000
adult,11,0.08556937216464437,7000
adult,12,0.0712695345120515,7000
adult,13,0.06093121783600056,7000
adult,15,0.07653115868549039,7000
adult,16,0.03523325012316295,7000
adult,17,0.05401704364204168,7000
adult,18,0.04117183627124991,7000
adult,19,0.034698356319689594,7000
adult,20,0.03496728437341923,7000
adult,21,0.04646110761004543,7000
adult,22,0.06226187937948533,7000
adult,23,0.03350508125940246,7000
adult,24,0.07617208119590949,7000
adult,25,0.05683178083672644,7000
adult,26,0.039337884993676984,7000
adult,27,0.028341513838752056,7000
adult,28,0.05855137793441529,7000
adult,29,0.03646904290116996,7000
adult,30,0.03783554969241436,7000
adult,31,0.0415466563387857,7000
adult,32,0.06184138177306051,7000
adult,33,0.03938630980224642,7000
adult,34,0.06783120173967004,7000
adult,35,0.045026967424868815,7000
adult,36,0.06914369543738155,7000
adult,37,0.054231943521889425,7000
adult,38,0.04149197822653035,7000
adult,39,0.03602681974831813,7000
adult,40,0.04309384081923003,7000
adult,41,0.05171198845670661,7000
adult,42,0.04438729808978202,7000
adult,44,0.028363238859867454,7000
adult,45,0.06548057662557759,7000
adult,46,0.04110359508014361,7000
adult,47,0.039920578143295,7000
adult,48,0.06483043741604072,7000
adult,49,0.04015711282415754,7000
adult,50,0.04924348905448486,7000
adult,51,0.05761226339932365,7000
adult,53,0.0418392519210237,7000
adult,54,0.039706431594050545,7000
adult,55,0.03342012482156302,7000
adult,56,0.04391589366742962,7000
child,1,0.01711323294333329,7000
child,2,0.03529054736229375,7000
child,4,0.012190404486626567,7000
child,5,0.014098085941600487,7000
child,6,0.0364859096671289,7000
child,8,0.025911930602327854,7000
child,9,0.029116071593227145,7000
child,10,0.02116122979074736,7000
child,11,0.03206454944336237,7000
child,12,0.02957822405150124,7000
child,13,0.025251213397479853,7000
child,15,0.027549802850572992,7000
child,16,0.005794234966470319,7000
child,17,0.0181896623977755,7000
child,18,0.01614976343322237,7000
child,19,0.010258618743199065,7000
child,20,0.011169069910905037,7000
child,21,0.011429923073936202,7000
child,22,0.019912587333966628,7000
child,23,0.015494162417085858,7000
child,24,0.02655774536902475,7000
child,25,0.016813448180283498,7000
child,26,0.015218869473649806,7000
child,27,0.006678311898644063,7000
child,28,0.01304286819378659,7000
child,29,0.011130926551060318,7000
child,30,0.015998833271596,7000
child,31,0.016491066926978583,7000
child,32,0.023138619981082544,7000
child,33,0.012146253454524544,7000
child,34,0.029641932054252848,7000
child,35,0.011028446448053529,7000
child,36,0.037798692292184626,7000
child,37,0.01600222542660781,7000
child,38,0.015854443396389646,7000
child,39,0.010823935791948888,7000
child,40,0.013113945898605227,7000
child,41,0.014061603016273775,7000
child,42,0.023537198815249093,7000
child,44,0.021428880434948963,7000
child,45,0.020386257702613982,7000
child,46,0.013257120044815343,7000
child,47,0.01644693208438077,7000
child,48,0.0228891100430897,7000
child,49,0.01607921527935307,7000
child,50,0.02534728256351195,7000
child,51,0.027111112825098007,7000
child,53,0.017786520948747348,7000
child,54,0.008387103158625737,7000
child,55,0.006864641044366909,7000
child,56,0.015593009413463876,7000
adult,1,0.04295530176922656,8000
adult,2,0.06539866192264855,8000
adult,4,0.044000286216925914,8000
adult,5,0.04205255964650744,8000
adult,6,0.08598250211490262,8000
adult,8,0.056976606002664666,8000
adult,9,0.051837807492657886,8000
adult,10,0.04258082963974158,8000
adult,11,0.07943988027120477,8000
adult,12,0.0653899686328383,8000
adult,13,0.056389203362716744,8000
adult,15,0.07201163389404258,8000
adult,16,0.033409667710144836,8000
adult,17,0.050323905538470236,8000
adult,18,0.0370095569031893,8000
adult,19,0.031995648608896345,8000
adult,20,0.029961451078933513,8000
adult,21,0.04192743936542912,8000
adult,22,0.05676600426498579,8000
adult,23,0.029533377429723274,8000
adult,24,0.07228463982841225,8000
adult,25,0.05256385195983683,8000
adult,26,0.03476317229250562,8000
adult,27,0.025228823664502343,8000
adult,28,0.05111515784486582,8000
adult,29,0.03361249415208728,8000
adult,30,0.03392542448632553,8000
adult,31,0.03835793004146785,8000
adult,32,0.05656720652113528,8000
adult,33,0.03695164923486502,8000
adult,34,0.06390971916912619,8000
adult,35,0.037815939161850075,8000
